ISIN,Industry,Ticker
INE880J01026,Services,NSE:JSWINFRA-EQ
INE019A01038,Metals & Mining,NSE:JSWSTEEL-EQ
INE168A01041,Financial Services,NSE:J&KBANK-EQ
INE324A01024,Capital Goods,NSE:JINDALSAW-EQ
INE220G01021,Metals & Mining,NSE:JSL-EQ
INE749A01030,Metals & Mining,NSE:JINDALSTEL-EQ
INE758E01017,Financial Services,NSE:JIOFIN-EQ
INE797F01020,Consumer Services,NSE:JUBLFOOD-EQ
INE0BY001018,Chemicals,NSE:JUBLINGREA-EQ
INE700A01033,Healthcare,NSE:JUBLPHARMA-EQ
INE209L01016,Capital Goods,NSE:JWL-EQ
INE599M01018,Consumer Services,NSE:JUSTDIAL-EQ
INE668F01031,Fast Moving Consumer Goods,NSE:JYOTHYLAB-EQ
INE930H01031,Textiles,NSE:KPRMILL-EQ
INE878B01027,Capital Goods,NSE:KEI-EQ
INE634I01029,Construction,NSE:KNRCON-EQ
INE04I401011,Information Technology,NSE:KPITTECH-EQ
INE001B01026,Fast Moving Consumer Goods,NSE:KRBL-EQ
INE999A01015,Capital Goods,NSE:KSB-EQ
INE217B01036,Consumer Durables,NSE:KAJARIACER-EQ
INE220B01022,Construction,NSE:KPIL-EQ
INE303R01014,Consumer Durables,NSE:KALYANKJIL-EQ
INE531A01024,Consumer Durables,NSE:KANSAINER-EQ
INE036D01028,Financial Services,NSE:KARURVYSYA-EQ
INE918Z01012,Capital Goods,NSE:KAYNES-EQ
INE389H01022,Construction,NSE:KEC-EQ
INE138Y01010,Financial Services,NSE:KFINTECH-EQ
INE237A01028,Financial Services,NSE:KOTAKBANK-EQ
INE967H01017,Healthcare,NSE:KIMS-EQ
INE498L01015,Financial Services,NSE:LTF-EQ
INE010V01017,Information Technology,NSE:LTTS-EQ
INE115A01026,Financial Services,NSE:LICHSGFIN-EQ
INE214T01019,Information Technology,NSE:LTIM-EQ
INE018A01030,Construction,NSE:LT-EQ
INE0I7C01011,Information Technology,NSE:LATENTVIEW-EQ
INE947Q01028,Healthcare,NSE:LAURUSLABS-EQ
INE576O01020,Chemicals,NSE:LXCHEM-EQ
INE970X01018,Consumer Services,NSE:LEMONTREE-EQ
INE0J1Y01017,Financial Services,NSE:LICI-EQ
INE473A01011,Chemicals,NSE:LINDEINDIA-EQ
INE281B01032,Metals & Mining,NSE:LLOYDSME-EQ
INE326A01037,Healthcare,NSE:LUPIN-EQ
INE123F01029,Services,NSE:MMTC-EQ
INE883A01011,Automobile and Auto Components,NSE:MRF-EQ
INE864I01014,Capital Goods,NSE:MTARTECH-EQ
INE670K01029,Realty,NSE:LODHA-EQ
INE002S01010,Oil Gas & Consumable Fuels,NSE:MGL-EQ
INE271B01025,Capital Goods,NSE:MAHSEAMLES-EQ
INE774D01024,Financial Services,NSE:M&MFIN-EQ
INE101A01026,Automobile and Auto Components,NSE:M&M-EQ
INE998I01010,Consumer Services,NSE:MHRIL-EQ
INE813A01018,Realty,NSE:MAHLIFE-EQ
INE522D01027,Financial Services,NSE:MANAPPURAM-EQ
INE103A01014,Oil Gas & Consumable Fuels,NSE:MRPL-EQ
