ISIN,Industry,Ticker
INE089C01029,Telecommunication,NSE:STLTECH-EQ
INE258G01013,Chemicals,NSE:SUMICHEM-EQ
INE232I01014,Healthcare,NSE:SPARC-EQ
INE044A01036,Healthcare,NSE:SUNPHARMA-EQ
INE424H01027,Media Entertainment & Publication,NSE:SUNTV-EQ
INE660A01013,Financial Services,NSE:SUNDARMFIN-EQ
INE387A01021,Automobile and Auto Components,NSE:SUNDRMFAST-EQ
INE805D01034,Realty,NSE:SUNTECK-EQ
INE195A01028,Capital Goods,NSE:SUPREMEIND-EQ
INE03QK01018,Healthcare,NSE:SUVENPHAR-EQ
INE040H01021,Capital Goods,NSE:SUZLON-EQ
INE665A01038,Diversified,NSE:SWANENERGY-EQ
INE398R01022,Healthcare,NSE:SYNGENE-EQ
INE0DYJ01015,Capital Goods,NSE:SYRMA-EQ
INE886H01027,Media Entertainment & Publication,NSE:TV18BRDCST-EQ
INE494B01023,Automobile and Auto Components,NSE:TVSMOTOR-EQ
INE395N01027,Services,NSE:TVSSCS-EQ
INE668A01016,Financial Services,NSE:TMB-EQ
INE483C01032,Information Technology,NSE:TANLA-EQ
INE092A01019,Chemicals,NSE:TATACHEM-EQ
INE151A01013,Telecommunication,NSE:TATACOMM-EQ
INE467B01029,Information Technology,NSE:TCS-EQ
INE192A01025,Fast Moving Consumer Goods,NSE:TATACONSUM-EQ
INE670A01012,Information Technology,NSE:TATAELXSI-EQ
INE672A01018,Financial Services,NSE:TATAINVEST-EQ
IN9155A01020,Automobile and Auto Components,NSE:TATAMTRDVR-EQ
INE155A01022,Automobile and Auto Components,NSE:TATAMOTORS-EQ
INE245A01021,Power,NSE:TATAPOWER-EQ
INE081A01020,Metals & Mining,NSE:TATASTEEL-EQ
INE142M01025,Information Technology,NSE:TATATECH-EQ
INE517B01013,Telecommunication,NSE:TTML-EQ
INE669C01036,Information Technology,NSE:TECHM-EQ
INE010J01012,Telecommunication,NSE:TEJASNET-EQ
INE470Y01017,Financial Services,NSE:NIACL-EQ
INE331A01037,Construction Materials,NSE:RAMCOCEM-EQ
INE152A01029,Capital Goods,NSE:THERMAX-EQ
INE325A01013,Capital Goods,NSE:TIMKEN-EQ
INE615H01020,Capital Goods,NSE:TITAGARH-EQ
INE280A01028,Consumer Durables,NSE:TITAN-EQ
INE685A01028,Healthcare,NSE:TORNTPHARM-EQ
INE813H01021,Power,NSE:TORNTPOWER-EQ
INE849A01020,Consumer Services,NSE:TRENT-EQ
INE064C01022,Textiles,NSE:TRIDENT-EQ
INE256C01024,Fast Moving Consumer Goods,NSE:TRIVENI-EQ
INE152M01016,Capital Goods,NSE:TRITURBINE-EQ
INE974X01010,Automobile and Auto Components,NSE:TIINDIA-EQ
INE691A01018,Financial Services,NSE:UCOBANK-EQ
INE405E01023,Automobile and Auto Components,NSE:UNOMINDA-EQ
INE628A01036,Chemicals,NSE:UPL-EQ
INE094J01016,Financial Services,NSE:UTIAMC-EQ
INE551W01018,Financial Services,NSE:UJJIVANSFB-EQ
INE481G01011,Construction Materials,NSE:ULTRACEMCO-EQ
INE692A01016,Financial Services,NSE:UNIONBANK-EQ
INE686F01025,Fast Moving Consumer Goods,NSE:UBL-EQ
INE854D01024,Fast Moving Consumer Goods,NSE:UNITDSPR-EQ
INE228A01035,Capital Goods,NSE:USHAMART-EQ
INE951I01027,Consumer Durables,NSE:VGUARD-EQ
INE054A01027,Consumer Durables,NSE:VIPIND-EQ
INE884A01027,Consumer Durables,NSE:VAIBHAVGBL-EQ
INE825A01020,Textiles,NSE:VTL-EQ
INE665L01035,Automobile and Auto Components,NSE:VARROC-EQ
INE200M01021,Fast Moving Consumer Goods,NSE:VBL-EQ
INE825V01034,Consumer Services,NSE:MANYAVAR-EQ
INE205A01025,Metals & Mining,NSE:VEDL-EQ
INE043W01024,Healthcare,NSE:VIJAYA-EQ
INE669E01016,Telecommunication,NSE:IDEA-EQ
INE226A01021,Consumer Durables,NSE:VOLTAS-EQ
INE191B01025,Capital Goods,NSE:WELCORP-EQ
INE192B01031,Textiles,NSE:WELSPUNLIV-EQ
INE274F01020,Consumer Services,NSE:WESTLIFE-EQ
INE716A01013,Consumer Durables,NSE:WHIRLPOOL-EQ
INE075A01022,Information Technology,NSE:WIPRO-EQ
INE528G01035,Financial Services,NSE:YESBANK-EQ
INE342J01019,Automobile and Auto Components,NSE:ZFCVINDIA-EQ
INE256A01028,Media Entertainment & Publication,NSE:ZEEL-EQ
INE520A01027,Information Technology,NSE:ZENSARTECH-EQ
INE758T01015,Consumer Services,NSE:ZOMATO-EQ
INE010B01027,Healthcare,NSE:ZYDUSLIFE-EQ
INE738I01010,Services,NSE:ECLERX-EQ
