Ticker
NSE:NIFTY50-INDEX
NSE:NIFTYBANK-INDEX
NSE:FINNIFTY-INDEX
NSE:MIDCPNIFTY-INDEX
BSE:SENSEX-INDEX
BSE:BANKEX-INDEX
BSE:SNSX50-INDEX
NSE:INDIAVIX-INDEX
NSE:NIFTY-FUT-1
NSE:BANKNIFTY-FUT-1
NSE:FINNIFTY-FUT-1
NSE:MIDCPNIFTY-FUT-1
BSE:SENSEX-FUT-1
BSE:BANKEX-FUT-1
NSE:NIFTY-FUT-2
NSE:BANKNIFTY-FUT-2
NSE:FINNIFTY-FUT-2
NSE:MIDCPNIFTY-FUT-2
BSE:SENSEX-FUT-2
BSE:BANKEX-FUT-2
